model,bias,proven_characters,Openness,Extraversion,Agreeableness,Conscientiousness,Neuroticism
ruGPT3.5_13b,0.3857967887178357,1/10,0.15245128123119234,0.5413708029423661,0.3542399855036756,0.48580830898933325,0.39511356492261107
ruGPT3_small,0.019874419371149928,1/10,0.0277839647371515,0.09759109531455577,-0.0698415429741645,0.05831946121261647,-0.01448088143440962
ruGPT3_medium,-0.00746984167717849,2/10,0.07643174365582384,0.16038750073837804,-0.3520093485872451,0.044885455825147524,0.03295543998200323
ruGPT3_large,0.018268133801638865,1/10,-0.19784782158739656,0.3382426831465948,0.09498100407347854,-0.12813054508715352,-0.015904651537328916
